Authors,Title,Source,Year,RI,New sp.,Social,Plants,Fish,Amphibians,Reptiles,Birds,Mammals,Other,DOI
"Fine, P., R. García, N. Pitman, I. Mesones & S. Kembel",A floristic study of the white-sand forests of Peru. Annals of the Missouri Botanical Garden,Annals of the Missouri Botanical Garden,2010,,0,0,1,0,0,0,0,0,0,
"Malhado, A.C.M., R.J. Whittaker, Y. Malhi, R.J. Ladle, H. ter Steege, O. Phillips, L.E.O.C. Aragão, T.R. Baker, L. Arroyo, S. Almeida, N. Higuchi, T.J. Killeen, A. Monteagudo, N.C.A. Pitman, A. Prieto, R.P. Salomão, R. Vásquez-Martínez, W.F. Laurance & H. Ramírez-Angulo",Are compound leaves an adaptation to seasonal drought or to rapid vertical growth? Evidence from the Amazon rainforest,Global Ecology and Biogeography,2010,,0,0,1,0,0,0,0,0,0,
"Mueses-Cisneros, JJ, MH Yánez-Muñoz & JM Guayasamin",Una nueva especie de sapo del género Osornophryne (Anura: Bufonidae) de las estribaciones amazónicas de los Andes de Ecuador,Papéis Avulsos de Zoologia,2010,21,1,0,0,0,1,0,0,0,0,
"Perez-Peña, PE, G Chavez, E Twomey, JL Brown",Two new species of Ranitomeya (Anura: Dendrobatidae) from eastern Amazonian Peru,Zootaxa,2010,??,1,0,0,0,1,0,0,0,0,
"Yánez-Muñoz, MH, P Meza-Ramos, HM Ortega-Andrade, JJ Mueses-Cisneros, M Reyes P, JP Reyes P & JC Durán L","Nuevos datos de distribución de ranas de cristal (Amphibia: Centrolenidae) en el oriente de Ecuador, con comentarios sobre la diversidad en la región.",Avances en Ciencias e Ingeniería,2010,20,0,0,0,0,1,0,0,0,0,
"Gloor, M. & 53 others",Does the disturbance hypothesis explain the biomass increase in basin-wide Amazon forest plot data?,Global Change Biology,2009,,0,0,1,0,0,0,0,0,0,
"Honorio Coronado, E.N., T.R. Baker, O.L. Phillips, N.C.A. Pitman, R.T. Pennington, R. Vásquez Martínez, A. Monteagudo, H. Mogollón, N. Dávila Cardozo, M. Ríos, R. García-Villacorta, E. Valderrama, M. Ahuite, I. Huamantupa, D.A. Neill, W.F. Laurance, H.E.M. Nascimento, S. Soares de Almeida, T.J. Killeen, L. Arroyo, P. Núñez & L. Freitas Alvarado",Multi-scale comparisons of tree composition in Amazonian terra firme forests,Biogeosciences,2009,,0,0,1,0,0,0,0,0,0,
"Kawasaki, ML, BK Holst",New Species of Calyptranthes (Myrtaceae) from Ecuador and Peru,Harvard Papers in Botany,2009,18,1,0,1,0,0,0,0,0,0,
"Lehr, E, A Catenazzi, and D Rodriguez",A new species of Pristimantis (Anura: Strabomantidae) from the Amazonian lowlands of northern Peru,Zootaxa,2009,18,1,0,0,0,1,0,0,0,0,
"Malhado, A.C.M., R.J. Whittaker, Y. Malhi, R.J. Ladle, H. ter Steege, L.E.O.C. Aragão, C.A. Quesada, A.M. Araujo, O.L. Phillips, J. Peacock, G. López-González, T.R. Baker, N. Butt, L.O. Anderson, L. Arroyo, S. Almeida, N. Higuchi, T.J. Killeen, A. Monteagudo, D.A. Neill, N.C.A. Pitman, A. Prieto, R.P. Salomão, N. Silva, R. Vásquez-M., W.F. Laurance, M.N. Alexiades & H. Ramírez A",Spatial distribution and functional significance of leaf lamina shape in Amazonian forest trees,Biogeosciences,2009,,0,0,1,0,0,0,0,0,0,
"Malhado, A.C.M., Y. Malhi, R.J. Whittaker, R.J. Ladle, H. ter Steege, L.E.O.C. Aragão, C.A. Quesada, A. Araujo-Murakami, O.L. Phillips, J. Peacock, G. Lopez-Gonzalez, T.R. Baker, N. Butt, L.O. Anderson, L. Arroyo, S. Almeida, N. Higuchi, T.J. Killeen, A. Monteagudo, D. Neill, N. Pitman, A. Prieto, R.P. Salomão, N. Silva, R. Vásquez-Martínez & W.F. Laurance",Spatial trends in leaf size of Amazonian rainforest trees,Biogeosciences,2009,,0,0,1,0,0,0,0,0,0,
"Patiño, S. & 62 others",Branch xylem density variations across the Amazon basin,Biogeosciences,2009,,0,0,1,0,0,0,0,0,0,
"Phillips, O.L. & 64 others",Drought sensitivity of the Amazon rainforest,Science,2009,,0,0,1,0,0,0,0,0,0,
"Saatchi, S. & 23 others","Mapping landscape scale variations of forest structure, biomass, and productivity in Amazonia",Biogeosciences Discussions,2009,,0,0,1,0,0,0,0,0,0,
"Yánez-Muñoz MH, P Pérez-Peña, and D. Cisneros-Heredia","New country records of Hyalinobatrachium iaspidiense (Amphibia, Anura, Centrolenidae) from the Amazonian lowlands of Ecuador and Peru",Herpetology Notes,2009,19,0,0,0,0,1,0,0,0,0,
,Fl. Ecuador 85: 93 (-94; fig. 16). 2009 [27.Moraceae (Ficus)],,2009,3,1,0,1,0,0,0,0,0,0,
,J. Bot. Res. Inst. Texas 3(2): 595¬†(-597; fig. 1). 2009 [25 Nov 2009],,2009,11,1,0,1,0,0,0,0,0,0,
,Ann. Missouri Bot. Gard. 96(2): 278 (-281; fig. 2A-F). 2009 [Nov 2009],,2009,19,1,0,1,0,0,0,0,0,0,
,"Novon 19(2): 204–208, f. 1a–f. 2009. (18 June 2009)",Novon,2009,17,1,0,1,0,0,0,0,0,0,
,Journal of the Botanical Research Institute of Texas 3(2): 599. 2009.,,2009,12,1,0,1,0,0,0,0,0,0,
"Erkens, RHJ, LYTHWestra, PJM Maas",Increasing diversity in the species-rich genus Guatteria (Annonaceae),Blumea,2008,12,1,0,1,0,0,0,0,0,0,
"Pitman, N.C.A., H. Mogollón, N. Dávila, M. Ríos, R. García-Villacorta, J. Guevara, M. Ahuite, M. Aulestia, D. Cardenas, C.E. Cerón, P.-A. Loizeau, D.A. Neill, P. Núñez V., W.A. Palacios, O.L. Phillips, R. Spichiger, E. Valderrama & R. Vásquez-Martínez",Tree community change across 700 km of lowland Amazonian forest from the Andean foothills to Brazil,Biotropica,2008,,0,0,1,0,0,0,0,0,0,
